Date,Region,Cases,Deaths
2020-01-30,RO,0,0
2020-01-31,RO,0,0
2020-02-1,RO,0,0
2020-02-2,RO,0,0
2020-02-3,RO,0,0
2020-02-4,RO,0,0
2020-02-5,RO,0,0
2020-02-6,RO,0,0
2020-02-7,RO,0,0
2020-02-8,RO,0,0
2020-02-9,RO,0,0
2020-02-10,RO,0,0
2020-02-11,RO,0,0
2020-02-12,RO,0,0
2020-02-13,RO,0,0
2020-02-14,RO,0,0
2020-02-15,RO,0,0
2020-02-16,RO,0,0
2020-02-17,RO,0,0
2020-02-18,RO,0,0
2020-02-19,RO,0,0
2020-02-20,RO,0,0
2020-02-21,RO,0,0
2020-02-22,RO,0,0
2020-02-23,RO,0,0
2020-02-24,RO,0,0
2020-02-25,RO,0,0
2020-02-26,RO,0,0
2020-02-27,RO,0,0
2020-02-28,RO,0,0
2020-02-29,RO,0,0
2020-03-1,RO,0,0
2020-03-2,RO,0,0
2020-03-3,RO,0,0
2020-03-4,RO,0,0
2020-03-5,RO,0,0
2020-03-6,RO,0,0
2020-03-7,RO,0,0
2020-03-8,RO,0,0
2020-03-9,RO,0,0
2020-03-10,RO,0,0
2020-03-11,RO,0,0
2020-03-12,RO,0,0
2020-03-13,RO,0,0
2020-03-14,RO,0,0
2020-03-15,RO,0,0
2020-03-16,RO,0,0
2020-03-17,RO,0,0
2020-03-18,RO,0,0
2020-03-19,RO,0,0
2020-03-20,RO,1,0
2020-03-21,RO,1,0
2020-03-22,RO,3,0
2020-03-23,RO,3,0
2020-03-24,RO,3,0
2020-03-25,RO,5,0
2020-03-26,RO,5,0
2020-03-27,RO,6,0
2020-03-28,RO,6,0
2020-03-29,RO,6,0
2020-03-30,RO,6,0
2020-03-31,RO,8,1
2020-04-1,RO,9,1
2020-04-2,RO,10,1
2020-04-3,RO,10,1
2020-04-4,RO,11,1
2020-04-5,RO,12,1
2020-04-6,RO,14,1
2020-04-7,RO,18,1
2020-04-8,RO,18,1
2020-04-9,RO,28,2
2020-04-10,RO,32,2
2020-04-11,RO,33,2
2020-04-12,RO,35,2
2020-04-13,RO,42,2
2020-04-14,RO,64,2
2020-04-15,RO,69,2
2020-04-16,RO,76,3
2020-04-17,RO,92,3
2020-04-18,RO,110,3
2020-04-19,RO,128,4
2020-04-20,RO,160,4
2020-04-21,RO,199,4
2020-04-22,RO,223,5
2020-04-23,RO,250,5
2020-04-24,RO,290,5
2020-04-25,RO,328,7
2020-04-26,RO,364,10
2020-04-27,RO,393,10
2020-04-28,RO,413,11
2020-04-29,RO,433,15
2020-04-30,RO,502,16
2020-05-1,RO,585,18
2020-05-2,RO,653,23
2020-01-30,AC,0,0
2020-01-31,AC,0,0
2020-02-1,AC,0,0
2020-02-2,AC,0,0
2020-02-3,AC,0,0
2020-02-4,AC,0,0
2020-02-5,AC,0,0
2020-02-6,AC,0,0
2020-02-7,AC,0,0
2020-02-8,AC,0,0
2020-02-9,AC,0,0
2020-02-10,AC,0,0
2020-02-11,AC,0,0
2020-02-12,AC,0,0
2020-02-13,AC,0,0
2020-02-14,AC,0,0
2020-02-15,AC,0,0
2020-02-16,AC,0,0
2020-02-17,AC,0,0
2020-02-18,AC,0,0
2020-02-19,AC,0,0
2020-02-20,AC,0,0
2020-02-21,AC,0,0
2020-02-22,AC,0,0
2020-02-23,AC,0,0
2020-02-24,AC,0,0
2020-02-25,AC,0,0
2020-02-26,AC,0,0
2020-02-27,AC,0,0
2020-02-28,AC,0,0
2020-02-29,AC,0,0
2020-03-1,AC,0,0
2020-03-2,AC,0,0
2020-03-3,AC,0,0
2020-03-4,AC,0,0
2020-03-5,AC,0,0
2020-03-6,AC,0,0
2020-03-7,AC,0,0
2020-03-8,AC,0,0
2020-03-9,AC,0,0
2020-03-10,AC,0,0
2020-03-11,AC,0,0
2020-03-12,AC,0,0
2020-03-13,AC,0,0
2020-03-14,AC,0,0
2020-03-15,AC,0,0
2020-03-16,AC,0,0
2020-03-17,AC,0,0
2020-03-18,AC,0,0
2020-03-19,AC,3,0
2020-03-20,AC,7,0
2020-03-21,AC,9,0
2020-03-22,AC,11,0
2020-03-23,AC,11,0
2020-03-24,AC,17,0
2020-03-25,AC,23,0
2020-03-26,AC,24,0
2020-03-27,AC,25,0
2020-03-28,AC,25,0
2020-03-29,AC,34,0
2020-03-30,AC,42,0
2020-03-31,AC,42,0
2020-04-1,AC,43,0
2020-04-2,AC,43,0
2020-04-3,AC,46,0
2020-04-4,AC,46,0
2020-04-5,AC,48,0
2020-04-6,AC,50,0
2020-04-7,AC,50,1
2020-04-8,AC,54,2
2020-04-9,AC,62,2
2020-04-10,AC,70,2
2020-04-11,AC,72,2
2020-04-12,AC,77,2
2020-04-13,AC,90,3
2020-04-14,AC,99,3
2020-04-15,AC,101,3
2020-04-16,AC,110,5
2020-04-17,AC,135,5
2020-04-18,AC,142,5
2020-04-19,AC,163,6
2020-04-20,AC,176,8
2020-04-21,AC,195,8
2020-04-22,AC,214,8
2020-04-23,AC,227,10
2020-04-24,AC,234,11
2020-04-25,AC,258,11
2020-04-26,AC,279,11
2020-04-27,AC,279,14
2020-04-28,AC,311,16
2020-04-29,AC,354,17
2020-04-30,AC,404,19
2020-05-1,AC,486,19
2020-05-2,AC,553,22
2020-01-30,AM,0,0
2020-01-31,AM,0,0
2020-02-1,AM,0,0
2020-02-2,AM,0,0
2020-02-3,AM,0,0
2020-02-4,AM,0,0
2020-02-5,AM,0,0
2020-02-6,AM,0,0
2020-02-7,AM,0,0
2020-02-8,AM,0,0
2020-02-9,AM,0,0
2020-02-10,AM,0,0
2020-02-11,AM,0,0
2020-02-12,AM,0,0
2020-02-13,AM,0,0
2020-02-14,AM,0,0
2020-02-15,AM,0,0
2020-02-16,AM,0,0
2020-02-17,AM,0,0
2020-02-18,AM,0,0
2020-02-19,AM,0,0
2020-02-20,AM,0,0
2020-02-21,AM,0,0
2020-02-22,AM,0,0
2020-02-23,AM,0,0
2020-02-24,AM,0,0
2020-02-25,AM,0,0
2020-02-26,AM,0,0
2020-02-27,AM,0,0
2020-02-28,AM,0,0
2020-02-29,AM,0,0
2020-03-1,AM,0,0
2020-03-2,AM,0,0
2020-03-3,AM,0,0
2020-03-4,AM,0,0
2020-03-5,AM,0,0
2020-03-6,AM,0,0
2020-03-7,AM,0,0
2020-03-8,AM,0,0
2020-03-9,AM,0,0
2020-03-10,AM,0,0
2020-03-11,AM,0,0
2020-03-12,AM,0,0
2020-03-13,AM,0,0
2020-03-14,AM,0,0
2020-03-15,AM,1,0
2020-03-16,AM,1,0
2020-03-17,AM,1,0
2020-03-18,AM,1,0
2020-03-19,AM,3,0
2020-03-20,AM,3,0
2020-03-21,AM,11,0
2020-03-22,AM,26,0
2020-03-23,AM,32,0
2020-03-24,AM,47,0
2020-03-25,AM,54,1
2020-03-26,AM,67,1
2020-03-27,AM,81,1
2020-03-28,AM,111,1
2020-03-29,AM,140,1
2020-03-30,AM,151,1
2020-03-31,AM,175,3
2020-04-1,AM,200,3
2020-04-2,AM,229,3
2020-04-3,AM,260,7
2020-04-4,AM,311,12
2020-04-5,AM,417,14
2020-04-6,AM,532,19
2020-04-7,AM,636,23
2020-04-8,AM,804,30
2020-04-9,AM,899,40
2020-04-10,AM,981,50
2020-04-11,AM,1050,53
2020-04-12,AM,1206,62
2020-04-13,AM,1275,71
2020-04-14,AM,1484,90
2020-04-15,AM,1554,106
2020-04-16,AM,1719,124
2020-04-17,AM,1809,145
2020-04-18,AM,1897,161
2020-04-19,AM,2044,182
2020-04-20,AM,2160,185
2020-04-21,AM,2270,193
2020-04-22,AM,2479,207
2020-04-23,AM,2888,234
2020-04-24,AM,3194,255
2020-04-25,AM,3635,287
2020-04-26,AM,3833,304
2020-04-27,AM,3928,320
2020-04-28,AM,4337,351
2020-04-29,AM,4801,380
2020-04-30,AM,5254,425
2020-05-1,AM,5723,476
2020-05-2,AM,6062,501
2020-01-30,RR,0,0
2020-01-31,RR,0,0
2020-02-1,RR,0,0
2020-02-2,RR,0,0
2020-02-3,RR,0,0
2020-02-4,RR,0,0
2020-02-5,RR,0,0
2020-02-6,RR,0,0
2020-02-7,RR,0,0
2020-02-8,RR,0,0
2020-02-9,RR,0,0
2020-02-10,RR,0,0
2020-02-11,RR,0,0
2020-02-12,RR,0,0
2020-02-13,RR,0,0
2020-02-14,RR,0,0
2020-02-15,RR,0,0
2020-02-16,RR,0,0
2020-02-17,RR,0,0
2020-02-18,RR,0,0
2020-02-19,RR,0,0
2020-02-20,RR,0,0
2020-02-21,RR,0,0
2020-02-22,RR,0,0
2020-02-23,RR,0,0
2020-02-24,RR,0,0
2020-02-25,RR,0,0
2020-02-26,RR,0,0
2020-02-27,RR,0,0
2020-02-28,RR,0,0
2020-02-29,RR,0,0
2020-03-1,RR,0,0
2020-03-2,RR,0,0
2020-03-3,RR,0,0
2020-03-4,RR,0,0
2020-03-5,RR,0,0
2020-03-6,RR,0,0
2020-03-7,RR,0,0
2020-03-8,RR,0,0
2020-03-9,RR,0,0
2020-03-10,RR,0,0
2020-03-11,RR,0,0
2020-03-12,RR,0,0
2020-03-13,RR,0,0
2020-03-14,RR,0,0
2020-03-15,RR,0,0
2020-03-16,RR,0,0
2020-03-17,RR,0,0
2020-03-18,RR,0,0
2020-03-19,RR,0,0
2020-03-20,RR,0,0
2020-03-21,RR,0,0
2020-03-22,RR,2,0
2020-03-23,RR,2,0
2020-03-24,RR,2,0
2020-03-25,RR,8,0
2020-03-26,RR,8,0
2020-03-27,RR,10,0
2020-03-28,RR,12,0
2020-03-29,RR,16,0
2020-03-30,RR,16,0
2020-03-31,RR,16,0
2020-04-1,RR,22,0
2020-04-2,RR,26,0
2020-04-3,RR,30,0
2020-04-4,RR,37,1
2020-04-5,RR,42,1
2020-04-6,RR,42,1
2020-04-7,RR,42,1
2020-04-8,RR,49,1
2020-04-9,RR,52,1
2020-04-10,RR,63,3
2020-04-11,RR,75,3
2020-04-12,RR,79,3
2020-04-13,RR,83,3
2020-04-14,RR,113,3
2020-04-15,RR,114,3
2020-04-16,RR,142,3
2020-04-17,RR,164,3
2020-04-18,RR,201,3
2020-04-19,RR,222,3
2020-04-20,RR,244,3
2020-04-21,RR,247,3
2020-04-22,RR,280,3
2020-04-23,RR,297,3
2020-04-24,RR,304,3
2020-04-25,RR,345,3
2020-04-26,RR,401,4
2020-04-27,RR,407,4
2020-04-28,RR,425,6
2020-04-29,RR,452,6
2020-04-30,RR,519,7
2020-05-1,RR,602,8
2020-05-2,RR,668,9
2020-01-30,PA,0,0
2020-01-31,PA,0,0
2020-02-1,PA,0,0
2020-02-2,PA,0,0
2020-02-3,PA,0,0
2020-02-4,PA,0,0
2020-02-5,PA,0,0
2020-02-6,PA,0,0
2020-02-7,PA,0,0
2020-02-8,PA,0,0
2020-02-9,PA,0,0
2020-02-10,PA,0,0
2020-02-11,PA,0,0
2020-02-12,PA,0,0
2020-02-13,PA,0,0
2020-02-14,PA,0,0
2020-02-15,PA,0,0
2020-02-16,PA,0,0
2020-02-17,PA,0,0
2020-02-18,PA,0,0
2020-02-19,PA,0,0
2020-02-20,PA,0,0
2020-02-21,PA,0,0
2020-02-22,PA,0,0
2020-02-23,PA,0,0
2020-02-24,PA,0,0
2020-02-25,PA,0,0
2020-02-26,PA,0,0
2020-02-27,PA,0,0
2020-02-28,PA,0,0
2020-02-29,PA,0,0
2020-03-1,PA,0,0
2020-03-2,PA,0,0
2020-03-3,PA,0,0
2020-03-4,PA,0,0
2020-03-5,PA,0,0
2020-03-6,PA,0,0
2020-03-7,PA,0,0
2020-03-8,PA,0,0
2020-03-9,PA,0,0
2020-03-10,PA,0,0
2020-03-11,PA,0,0
2020-03-12,PA,0,0
2020-03-13,PA,0,0
2020-03-14,PA,0,0
2020-03-15,PA,0,0
2020-03-16,PA,0,0
2020-03-17,PA,0,0
2020-03-18,PA,0,0
2020-03-19,PA,1,0
2020-03-20,PA,2,0
2020-03-21,PA,2,0
2020-03-22,PA,4,0
2020-03-23,PA,5,0
2020-03-24,PA,5,0
2020-03-25,PA,7,0
2020-03-26,PA,13,0
2020-03-27,PA,13,0
2020-03-28,PA,17,0
2020-03-29,PA,18,0
2020-03-30,PA,21,0
2020-03-31,PA,32,0
2020-04-1,PA,40,1
2020-04-2,PA,46,1
2020-04-3,PA,50,1
2020-04-4,PA,80,1
2020-04-5,PA,86,1
2020-04-6,PA,102,3
2020-04-7,PA,138,5
2020-04-8,PA,167,6
2020-04-9,PA,168,7
2020-04-10,PA,170,9
2020-04-11,PA,217,10
2020-04-12,PA,246,13
2020-04-13,PA,270,15
2020-04-14,PA,323,19
2020-04-15,PA,384,21
2020-04-16,PA,438,24
2020-04-17,PA,557,26
2020-04-18,PA,640,33
2020-04-19,PA,685,34
2020-04-20,PA,902,35
